f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26
2,1,38.5,66,28,3,3,,2,5,4,4,,,,3,5,45,8.4,,,2,11300,0,0,2
1,1,39.2,88,20,,,4,1,3,4,2,,,,4,2,50,85,2,2,3,2208,0,0,2
2,1,38.3,40,24,1,1,3,1,3,3,1,,,,1,1,33,6.7,,,1,0,0,0,1
1,9,39.1,164,84,4,1,6,2,2,4,4,1,2,5,3,,48,7.2,3,5.3,2,2208,0,0,1
2,1,37.3,104,35,,,6,2,,,,,,,,,74,7.4,,,2,4300,0,0,2
2,1,,,,2,1,3,1,2,3,2,2,1,,3,3,,,,,1,0,0,0,2
1,1,37.9,48,16,1,1,1,1,3,3,3,1,1,,3,5,37,7,,,1,3124,0,0,2
1,1,,60,,3,,,1,,4,2,2,1,,3,4,44,8.3,,,2,2208,0,0,2
2,1,,80,36,3,4,3,1,4,4,4,2,1,,3,5,38,6.2,,,3,3205,0,0,2
2,9,38.3,90,,1,,1,1,5,3,1,2,1,,3,,40,6.2,1,2.2,1,0,0,0,1
1,1,38.1,66,12,3,3,5,1,3,3,1,2,1,3,2,5,44,6,2,3.6,1,2124,0,0,1
2,1,39.1,72,52,2,,2,1,2,1,2,1,1,,4,4,50,7.8,,,1,2111,0,0,2
1,1,37.2,42,12,2,1,1,1,3,3,3,3,1,,4,5,,7,,,1,4124,0,0,2
2,9,38,92,28,1,1,2,1,1,3,2,3,,7.2,1,1,37,6.1,1,,2,0,0,0,1
1,1,38.2,76,28,3,1,1,1,3,4,1,2,2,,4,4,46,81,1,2,1,2112,0,0,2
1,1,37.6,96,48,3,1,4,1,5,3,3,2,3,4.5,4,,45,6.8,,,2,3207,0,0,2
1,9,,128,36,3,3,4,2,4,4,3,3,,,4,5,53,7.8,3,4.7,2,1400,0,0,1
2,1,37.5,48,24,,,,,,,,,,,,,,,,,1,0,0,0,2
1,1,37.6,64,21,1,1,2,1,2,3,1,1,1,,2,5,40,7,1,,1,4205,0,0,1
2,1,39.4,110,35,4,3,6,,,3,3,,,,,,55,8.7,,,1,0,0,0,2
1,1,39.9,72,60,1,1,5,2,5,4,4,3,1,,4,4,46,6.1,2,,1,2111,0,0,2
2,1,38.4,48,16,1,,1,1,1,3,1,2,3,5.5,4,3,49,6.8,,,1,0,0,0,2
1,1,38.6,42,34,2,1,4,,2,3,1,,,,1,,48,7.2,,,1,3111,0,0,2
1,9,38.3,130,60,,3,,1,2,4,,,,,,,50,70,,,1,3111,0,0,2
1,1,38.1,60,12,3,3,3,1,,4,3,3,2,2,,,51,65,,,1,3111,0,0,2
2,1,37.8,60,42,,,,1,,,,,,,,,,,,,1,0,0,0,2
1,1,38.3,72,30,4,3,3,2,3,3,3,2,1,,3,5,43,7,2,3.9,1,3111,0,0,1
1,1,37.8,48,12,3,1,1,1,,3,2,1,1,,1,3,37,5.5,2,1.3,1,4122,0,0,1
1,1,,,,,,,,,,,,,,,,,,,,2,4300,0,0,2
2,1,37.7,48,,2,1,1,1,1,1,1,1,1,,,,45,76,,,1,0,0,0,2
2,1,37.7,96,30,3,3,4,2,5,4,4,3,2,4,4,5,66,7.5,,,2,4205,0,0,2
2,1,37.2,108,12,3,3,4,2,2,4,2,,3,6,3,3,52,8.2,3,7.4,3,2207,0,0,1
1,1,37.2,60,,2,1,1,1,3,3,3,2,1,,4,5,43,6.6,,,1,2209,0,0,2
1,1,38.2,64,28,1,1,1,1,3,1,,,,,4,4,49,8.6,2,6.6,1,2208,0,0,1
1,1,,100,30,3,3,4,2,5,4,4,3,3,,4,4,52,6.6,,,1,1124,0,0,2
2,1,,104,24,4,3,3,2,4,4,3,,3,,,2,73,8.4,,,3,7111,0,0,2
2,1,38.3,112,16,,3,5,2,,,1,1,2,,,5,51,6,2,1,3,5205,0,0,1
1,1,37.8,72,,,3,,1,5,3,1,,1,,1,1,56,80,1,2,1,3111,0,0,2
2,1,38.6,52,,1,1,1,1,3,3,2,1,1,,1,3,32,6.6,1,5,1,0,0,0,1
1,9,39.2,146,96,,,,,,,,,,,,,,,,,2,2113,0,0,2
1,1,,88,,3,3,6,2,5,3,3,1,3,,4,5,63,6.5,3,,2,4205,0,0,2
2,9,39,150,72,,,,,,,,,,,,,47,8.5,,0.1,1,9400,0,0,1
2,1,38,60,12,3,1,3,1,3,3,1,1,1,,2,2,47,7,,,1,3111,0,0,2
1,1,,120,,3,4,4,1,4,4,4,1,1,,,5,52,67,2,2,3,3205,0,0,2
1,1,35.4,140,24,3,3,4,2,4,4,,2,1,,,5,57,69,3,2,3,3205,0,0,2
2,1,,120,,4,3,4,2,5,4,4,1,1,,4,5,60,6.5,3,,2,3205,0,0,2
1,1,37.9,60,15,3,,4,2,5,4,4,2,2,,4,5,65,7.5,,,1,2305,0,0,1
2,1,37.5,48,16,1,1,1,1,1,1,1,1,1,,1,,37,6.5,,,1,0,0,0,2
1,1,38.9,80,44,3,3,3,2,2,3,3,2,2,7,3,1,54,6.5,3,,2,7111,0,0,2
2,1,37.2,84,48,3,3,5,2,4,1,2,1,2,,2,1,73,5.5,2,4.1,2,4300,0,0,1
2,1,38.6,46,,1,1,2,1,1,3,2,1,1,,,2,49,9.1,1,1.6,1,3111,0,0,1
1,1,37.4,84,36,1,,3,2,3,3,2,,,,4,5,,,3,,2,7209,0,0,1
2,1,,,,1,1,3,1,1,3,1,,,,2,2,43,7.7,,,1,3111,0,0,2
2,1,38.6,40,20,,,,1,,,,,,,,,41,6.4,,,1,3111,0,0,1
2,1,40.3,114,36,3,3,1,2,2,3,3,2,1,7,1,5,57,8.1,3,4.5,3,7400,0,0,1
1,9,38.6,160,20,3,,5,1,3,3,4,3,,,4,,38,,2,,2,7111,0,0,1
1,1,,,,,,,,,,,,,,,,24,6.7,,,1,3112,0,0,2
1,1,,64,36,2,,2,1,5,3,3,2,2,,,,42,7.7,,,2,3209,0,0,2
1,1,,,20,4,3,3,,5,4,3,2,,,4,4,53,5.9,3,,2,3205,0,0,1
2,1,,96,,3,3,3,2,5,4,4,1,2,,4,5,60,,,,2,4205,0,0,2
2,1,37.8,48,32,1,1,3,1,2,1,,1,1,,4,5,37,6.7,,,1,2124,0,0,2
2,1,38.5,60,,2,2,1,1,1,2,2,2,1,,1,1,44,7.7,,,1,0,0,0,2
1,1,37.8,88,22,2,1,2,1,3,,,2,,,4,,64,8,1,6,2,3205,0,0,1
2,1,38.2,130,16,4,3,4,2,2,4,4,1,1,,,,65,82,2,2,3,2209,1400,0,2
1,1,39,64,36,3,1,4,2,3,3,2,1,2,7,4,5,44,7.5,3,5,1,2113,0,0,1
1,1,,60,36,3,1,3,1,3,3,2,1,1,,3,4,26,72,2,1,1,2208,0,0,2
2,1,37.9,72,,1,1,5,2,3,3,1,1,3,2,3,4,58,74,1,2,1,2322,0,0,2
2,1,38.4,54,24,1,1,1,1,1,3,1,2,1,,3,2,49,7.2,1,,1,3111,0,0,1
2,1,,52,16,1,,3,1,,,,2,3,5.5,,,55,7.2,,,1,2124,0,0,2
2,1,38,48,12,1,1,1,1,1,3,,1,1,,3,2,42,6.3,2,4.1,1,3111,0,0,1
2,1,37,60,20,3,,,1,3,,3,2,2,4.5,4,4,43,7.6,,,3,2209,0,0,1
1,1,37.8,48,28,1,1,1,1,1,2,1,2,,,1,1,46,5.9,2,7,1,0,0,0,1
1,1,37.7,56,,,,,,,,,,,,,,,,,,2,2113,0,0,2
1,1,38.1,52,24,1,1,5,1,4,3,1,2,3,7,1,,54,7.5,2,2.6,2,2112,0,0,1
1,9,,,,,,,,,,,,,,,,37,4.9,,,2,11124,0,0,2
1,9,39.7,100,,3,3,5,2,2,3,,,,,,,48,57,2,2,3,1400,0,0,2
1,1,37.6,38,20,3,3,1,1,3,3,2,,,,3,,37,68,,,1,3205,0,0,2
2,1,38.7,52,20,2,,1,1,1,1,1,1,1,,1,1,33,77,,,1,0,0,0,2
1,1,,,,3,3,3,3,5,3,3,3,2,,4,5,46,5.9,,,2,3025,0,0,2
1,1,37.5,96,18,1,3,6,2,3,4,2,2,3,5,,4,69,8.9,3,,1,2208,0,0,1
1,1,36.4,98,35,3,3,4,1,4,3,2,,,,4,4,47,6.4,3,3.6,2,2205,0,0,1
1,1,37.3,40,,,3,1,1,2,3,2,3,1,,3,5,36,,3,2,1,3111,0,0,2
1,9,38.1,100,80,3,1,2,1,3,4,1,,,,1,,36,5.7,,,1,3111,0,0,2
1,1,38,,24,3,3,6,2,5,,4,1,1,,,,68,7.8,,,2,3205,0,0,2
1,1,37.8,60,80,1,3,2,2,2,3,3,,2,5.5,4,,40,4.5,2,,1,5206,0,0,1
2,1,38,54,30,2,3,3,3,3,1,2,2,2,,,4,45,6.2,,,1,400,0,0,2
1,1,,88,40,3,3,4,2,5,4,3,3,,,4,5,50,7.7,3,1.4,2,4205,0,0,1
2,1,,40,16,,,,1,,,,,,,,,50,7,2,3.9,3,2208,0,0,1
2,1,39,64,40,1,1,5,1,3,3,2,2,1,,3,3,42,7.5,2,2.3,1,5000,0,0,1
2,1,38.3,42,10,1,1,1,1,1,1,1,,,,,,38,61,,,1,0,0,0,2
2,1,38,52,16,,,,,2,,,,3,1,1,1,53,86,,,1,2322,0,0,2
2,1,40.3,114,36,3,3,1,2,2,3,3,2,1,7,1,5,57,8.1,3,4.5,2,3205,0,0,1
2,1,38.8,50,20,3,1,1,1,1,1,1,2,1,,3,1,42,6.2,,,1,0,0,0,2
2,1,,,,3,3,1,1,5,3,3,1,1,,4,5,38,6.5,,,2,3205,0,0,2
2,1,37.5,48,30,4,1,3,1,,2,1,1,1,,1,1,48,8.6,,,1,0,0,0,2
1,1,37.3,48,20,,1,2,1,3,3,3,2,1,,3,5,41,69,,,1,3205,0,0,2
2,1,,84,36,,,3,1,,3,1,2,1,,3,2,44,8.5,,,1,3111,0,0,2
1,1,38.1,88,32,3,3,4,1,2,3,3,,3,1,4,5,55,60,,,3,3205,0,0,2
2,1,37.7,44,40,2,1,3,1,1,3,2,1,1,,1,5,41,60,,,1,0,0,0,2
2,1,39.6,108,51,3,3,6,2,2,4,3,1,2,,3,5,59,8,2,2.6,1,4300,0,0,1
1,1,38.2,40,16,3,3,1,1,1,3,,,,,1,1,34,66,,,1,0,0,0,2
1,1,,60,20,4,3,4,2,5,4,,,1,,4,5,,,,,3,3205,0,0,2
2,1,38.3,40,16,3,,1,1,2,,,,,,,,37,57,,,1,0,0,0,2
1,9,38,140,68,1,1,1,1,3,3,2,,,,2,1,39,5.3,,,1,7111,0,0,2
1,1,37.8,52,24,1,3,3,1,4,4,1,2,3,5.7,2,5,48,6.6,1,3.7,2,5400,0,0,2
1,1,,70,36,1,,3,2,2,3,2,2,,,4,5,36,7.3,,,1,31110,0,0,2
1,1,38.3,52,96,,3,3,1,,,,1,1,,1,,43,6.1,,,1,3209,0,0,1
2,1,37.3,50,32,1,1,3,1,1,3,2,,,,1,,44,7,,,1,0,0,0,2
1,1,38.7,60,32,4,3,2,2,4,4,4,,,,4,5,53,64,3,2,3,3205,0,0,2
1,9,38.4,84,40,3,3,2,1,3,3,3,1,1,,,,36,6.6,2,2.8,2,2205,0,0,1
1,1,,70,16,3,4,5,2,2,3,2,2,1,,4,5,60,7.5,,,2,2112,0,0,2
1,1,38.3,40,16,3,,,1,1,3,2,,,,,,38,58,1,2,1,3111,7111,0,2
1,1,,40,,2,1,1,1,1,3,1,1,1,,,5,39,56,,,1,3111,0,0,2
1,1,36.8,60,28,,,,,,,,,,,,,,,,10,2,3205,0,0,1
1,1,38.4,44,24,3,,4,,5,4,3,2,1,,4,5,50,77,,,1,3205,0,0,2
2,1,,,40,3,1,1,1,3,3,2,,,,,,45,70,,,1,0,0,0,2
1,1,38,44,12,1,1,1,1,3,3,3,2,1,,4,5,42,65,,,1,3205,3111,0,2
2,1,39.5,,,3,3,4,2,3,4,3,,3,5.5,4,5,,6.7,1,,3,4205,0,0,2
1,1,36.5,78,30,1,,1,1,5,3,1,,1,,,,34,75,2,1,1,3112,6112,0,2
2,1,38.1,56,20,2,1,2,1,1,3,1,1,1,,,,46,70,,,1,0,0,0,2
1,1,39.4,54,66,1,1,2,1,2,3,2,1,1,,3,4,39,6,2,,1,2206,0,0,1
1,1,38.3,80,40,,,6,2,4,3,1,,2,,1,4,67,10.2,2,1,3,2208,0,0,2
2,1,38.7,40,28,2,1,1,1,3,1,1,,,,1,,39,62,1,1,1,0,0,0,2
1,1,38.2,64,24,1,1,3,1,4,4,3,2,1,,4,4,45,7.5,1,2,2,3205,0,0,1
2,1,37.6,48,20,3,1,4,1,1,1,3,2,1,,1,1,37,5.5,,,3,2205,0,0,2
1,1,38,42,68,4,1,1,1,3,3,2,2,2,,4,4,41,7.6,,,1,2205,0,0,2
1,1,38.7,,,3,1,3,1,5,4,2,,,,,,33,6.5,2,,1,31110,0,0,2
1,1,37.4,50,32,3,3,,1,4,4,1,2,1,,1,,45,7.9,2,1,1,2208,0,0,1
1,1,37.4,84,20,,,3,1,2,3,3,,,,,,31,61,,1,3,2208,0,0,2
1,1,38.4,49,,,,1,1,,,1,2,1,,,,44,7.6,,,1,2206,0,0,2
1,1,37.8,30,12,,,,,,,,,,,,,,,,,2,2113,0,0,2
2,1,37.6,88,36,3,1,1,1,3,3,2,1,3,1.5,,,44,6,,,2,1400,0,0,2
,1,38,48,20,3,1,3,1,4,3,1,2,1,,3,5,43,73,2,1,,3111,0,0,2
2,1,37.9,40,24,1,1,1,1,2,3,1,,,,,3,40,5.7,,,1,400,0,0,2
1,1,,100,,3,,4,2,5,4,,2,,,2,,59,6.3,,,2,4205,0,0,2
1,9,38.1,136,48,3,3,3,1,5,1,3,2,2,4.4,2,,33,4.9,2,2.9,2,2205,0,0,1
1,1,,,,3,3,3,2,5,3,3,3,2,,4,5,46,5.9,,,2,3025,0,0,2
1,1,38,48,,1,1,1,1,1,2,4,2,2,,4,5,,,,,1,3111,0,0,2
2,1,38,56,,1,2,3,1,1,1,1,1,1,,1,1,42,71,,,1,0,0,0,2
2,1,38,60,32,1,1,,1,3,3,,1,1,,,,50,7,1,1,1,0,0,0,2
1,1,38.1,44,9,3,1,1,1,2,2,1,1,1,,4,5,31,7.3,,,1,5124,0,0,2
2,1,36,42,30,,,5,1,,,,,,,,,64,6.8,,,2,1400,0,0,2
1,1,,120,,4,3,6,2,5,4,4,,,,4,5,57,4.5,3,3.9,2,3205,0,0,1
1,1,37.8,48,28,1,1,1,2,1,2,1,2,,,1,1,46,5.9,2,7,1,0,0,0,1
1,1,37.1,84,40,3,3,6,1,2,4,4,3,2,2,4,5,75,81,,,3,1400,0,0,2
2,1,,80,32,3,3,2,1,2,3,3,2,1,,3,,50,80,,,1,0,0,0,2
1,1,38.2,48,,1,3,3,1,3,4,4,1,3,2,4,5,42,71,,,1,3111,0,0,2
2,1,38,44,12,2,1,3,1,3,4,3,1,2,6.5,1,4,33,6.5,,,2,2209,0,0,2
1,1,38.3,132,,,3,6,2,2,4,2,2,3,6.2,4,4,57,8,,5.2,1,2112,0,0,1
