"year","month","binaryClass"
1979,January,P
1979,February,P
1979,March,P
1979,April,P
1979,May,P
1979,June,P
1979,July,P
1979,August,P
1979,September,P
1979,October,P
1979,November,P
1979,December,P
1980,January,P
1980,February,P
1980,March,P
1980,April,P
1980,May,P
1980,June,P
1980,July,P
1980,August,P
1980,September,P
1980,October,P
1980,November,P
1980,December,P
1981,January,P
1981,February,P
1981,March,P
1981,April,P
1981,May,P
1981,June,P
1981,July,P
1981,August,P
1981,September,P
1981,October,P
1981,November,P
1981,December,P
1982,January,P
1982,February,P
1982,March,P
1982,April,P
1982,May,P
1982,June,P
1982,July,P
1982,August,P
1982,September,P
1982,October,P
1982,November,P
1982,December,P
1983,January,P
1983,February,P
1983,March,P
1983,April,P
1983,May,P
1983,June,P
1983,July,P
1983,August,P
1983,September,P
1983,October,P
1983,November,P
1983,December,P
1984,January,P
1984,February,P
1984,March,P
1984,April,P
1984,May,P
1984,June,P
1984,July,P
1984,August,P
1984,September,P
1984,October,P
1984,November,P
1984,December,P
1985,January,P
1985,February,P
1985,March,P
1985,April,P
1985,May,P
1985,June,P
1985,July,N
1985,August,N
1985,September,P
1985,October,P
1985,November,P
1985,December,P
1986,January,P
1986,February,P
1986,March,P
1986,April,P
1986,May,P
1986,June,P
1986,July,P
1986,August,P
1986,September,P
1986,October,P
1986,November,P
1986,December,P
1987,January,P
1987,February,P
1987,March,P
1987,April,P
1987,May,P
1987,June,P
1987,July,N
1987,August,N
1987,September,P
1987,October,P
1987,November,P
1987,December,P
1988,January,P
1988,February,P
1988,March,P
1988,April,P
1988,May,N
1988,June,N
1988,July,N
1988,August,N
1988,September,N
1988,October,N
1988,November,P
1988,December,P
1989,January,P
1989,February,P
1989,March,P
1989,April,N
1989,May,N
1989,June,N
1989,July,N
1989,August,N
1989,September,N
1989,October,N
1989,November,P
1989,December,P
1990,January,P
1990,February,P
1990,March,P
1990,April,N
1990,May,N
1990,June,N
1990,July,N
1990,August,N
1990,September,N
1990,October,N
1990,November,P
1990,December,P
1991,January,P
1991,February,P
1991,March,P
1991,April,P
1991,May,N
1991,June,N
1991,July,N
1991,August,N
1991,September,N
1991,October,N
1991,November,P
1991,December,P
1992,January,P
1992,February,P
1992,March,P
1992,April,N
1992,May,N
1992,June,N
1992,July,N
1992,August,N
1992,September,N
1992,October,N
1992,November,P
1992,December,P
1993,January,P
1993,February,P
1993,March,N
1993,April,N
1993,May,N
1993,June,N
1993,July,N
1993,August,N
1993,September,N
1993,October,N
1993,November,P
1993,December,P
1994,January,P
1994,February,P
1994,March,N
1994,April,N
1994,May,N
1994,June,N
1994,July,N
1994,August,N
1994,September,N
1994,October,N
1994,November,P
1994,December,P
1995,January,P
1995,February,P
1995,March,P
1995,April,N
1995,May,N
1995,June,N
1995,July,N
1995,August,N
1995,September,N
1995,October,N
1995,November,P
1995,December,P
1996,January,P
1996,February,P
1996,March,N
1996,April,N
1996,May,N
1996,June,N
1996,July,N
1996,August,N
1996,September,N
1996,October,N
1996,November,P
1996,December,P
1997,January,P
1997,February,P
1997,March,N
1997,April,N
1997,May,N
1997,June,N
1997,July,N
1997,August,N
1997,September,N
1997,October,N
1997,November,P
1997,December,P
1998,January,P
1998,February,P
1998,March,P
1998,April,N
1998,May,N
1998,June,N
1998,July,N
1998,August,N
1998,September,N
1998,October,N
1998,November,P
1998,December,P
1999,January,P
1999,February,P
1999,March,N
1999,April,N
1999,May,N
1999,June,N
1999,July,N
1999,August,N
1999,September,N
1999,October,N
1999,November,N
1999,December,P
2000,January,P
2000,February,P
2000,March,N
2000,April,N
2000,May,N
2000,June,N
2000,July,N
2000,August,N
2000,September,N
2000,October,N
2000,November,N
2000,December,P